,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT,MASK
75,58651.44396062128,-3324639.527,87.084,106.175,217014_190617.1107.fits,99,430.003,1.1588928768691,LFC,chromatic,4,True,ESPRESSO_G2.fits
76,58651.45293218899,-3324394.244,27.955,978.966,217014_190617.1108.fits,284,860.005,1.13459015222845,LFC,chromatic,4,True,ESPRESSO_G2.fits
77,58651.46111673029,-3324436.549,39.644,493.578,217014_190617.1112.fits,202,430.004,1.062674884033,LFC,chromatic,4,True,ESPRESSO_G2.fits
78,58652.45639373711,-3320673.869,46.433,407.746,217014_190618.1138.fits,172,430.003,1.11385699822965,LFC,chromatic,4,True,ESPRESSO_G2.fits
79,58655.43242566599,-3326538.797,36.066,581.407,217014_190621.1099.fits,220,430.002,1.161485654469,LFC,chromatic,4,True,ESPRESSO_G2.fits
80,58655.43770402787,-3326572.32,35.382,612.247,217014_190621.1100.fits,222,430.003,1.14426611043115,LFC,chromatic,4,True,ESPRESSO_G2.fits
81,58657.45605134273,-3325205.083,56.638,233.886,217014_190623.1129.fits,142,430.003,1.08506620213295,LFC,chromatic,4,True,ESPRESSO_G2.fits
82,58657.46124789059,-3325212.752,50.455,297.306,217014_190623.1130.fits,157,430.002,1.07485776809975,LFC,chromatic,4,True,ESPRESSO_G2.fits
83,58658.4537114166,-3331562.216,33.175,690.99,217014_190624.1107.fits,230,206.656,1.0842968908316,LFC,chromatic,4,True,ESPRESSO_G2.fits
84,58658.45667482856,-3331483.555,30.55,839.678,217014_190624.1108.fits,247,220.003,1.07835080947705,LFC,chromatic,4,True,ESPRESSO_G2.fits
85,58658.45959985401,-3331445.368,31.025,809.383,217014_190624.1109.fits,243,220.004,1.07306110414555,LFC,chromatic,4,True,ESPRESSO_G2.fits
86,58658.46263376198,-3331559.129,29.078,899.043,217014_190624.1110.fits,257,220.002,1.0679133742071,LFC,chromatic,4,True,ESPRESSO_G2.fits
87,58658.46524994198,-3331468.655,32.155,750.616,217014_190624.1111.fits,236,163.069,1.0639652710181,LFC,chromatic,4,True,ESPRESSO_G2.fits
88,58664.44793384027,-3322919.841,89.431,104.694,217014_190630.1129.fits,94,430.003,1.06604986356595,LFC,chromatic,4,True,ESPRESSO_G2.fits
89,58664.4582678801,-3322858.275,97.49,83.442,217014_190630.1134.fits,89,860.003,1.0521077147737,LFC,chromatic,4,True,ESPRESSO_G2.fits
90,58665.46178185099,-3322106.588,36.619,549.232,217014_190701.1111.fits,214,427.108,1.04491131412505,LFC,chromatic,4,True,ESPRESSO_G2.fits
91,58749.22186594485,-3321506.383,48.449,371.65,217014_190923.1126.fits,163,430.002,1.06292533832065,LFC,chromatic,5,True,ESPRESSO_G2.fits
92,58763.23361812179,-3324688.087,34.437,625.407,217014_191007.1082.fits,230,430.002,1.03008547329075,LFC,chromatic,5,True,ESPRESSO_G2.fits
93,58763.23919423867,-3324784.131,33.252,669.74,217014_191007.1083.fits,238,430.003,1.0314645039856,LFC,chromatic,5,True,ESPRESSO_G2.fits
94,58764.31154828679,-3331444.319,32.436,705.591,217014_191008.1072.fits,244,300.974,1.1595649019397,LFC,chromatic,5,True,ESPRESSO_G2.fits
95,58764.3180509371,-3331423.061,28.841,904.453,217014_191008.1073.fits,273,300.003,1.1829639058543,LFC,chromatic,5,True,ESPRESSO_G2.fits
96,58772.3159028275,-3329729.126,34.045,614.186,217014_191016.1072.fits,234,430.003,1.2698212759646,LFC,chromatic,5,True,ESPRESSO_G2.fits
97,58772.32108577448,-3329732.667,34.591,604.801,217014_191016.1073.fits,231,430.002,1.2487975945802,LFC,chromatic,5,True,ESPRESSO_G2.fits
98,58780.11481925272,-3324496.919,33.527,662.83,217014_191024.1198.fits,237,522.362,1.10491192810155,LFC,chromatic,5,True,ESPRESSO_G2.fits
99,58780.12126976415,-3324672.572,33.466,660.889,217014_191024.1199.fits,238,522.002,1.1134065225351,LFC,chromatic,5,True,ESPRESSO_G2.fits
100,58787.19804950554,-3321773.133,40.518,450.839,217014_191031.1070.fits,194,600.002,1.05119150681775,LFC,chromatic,5,True,ESPRESSO_G2.fits
101,58787.20611032078,-3321582.452,34.396,610.73,217014_191031.1071.fits,226,720.002,1.0454660802054,LFC,chromatic,5,True,ESPRESSO_G2.fits
102,58796.09926276017,-3320264.175,33.874,628.556,217014_191109.1083.fits,235,209.225,1.0520651398037,LFC,chromatic,5,True,ESPRESSO_G2.fits
103,58796.10208268603,-3320391.062,33.854,635.62,217014_191109.1084.fits,236,197.167,1.0487747437035,LFC,chromatic,5,True,ESPRESSO_G2.fits
104,58796.10482439474,-3320255.617,33.861,629.064,217014_191109.1085.fits,235,195.017,1.04582456203055,LFC,chromatic,5,True,ESPRESSO_G2.fits
105,58796.10753152912,-3320285.906,33.852,617.572,217014_191109.1086.fits,235,201.68,1.07075360364325,LFC,chromatic,5,True,ESPRESSO_G2.fits
106,58798.12817837011,-3331339.158,33.956,640.06,217014_191111.1094.fits,234,114.095,1.0296468817545,LFC,chromatic,5,True,ESPRESSO_G2.fits
107,58798.12989305292,-3331525.317,34.105,626.263,217014_191111.1095.fits,233,115.68,1.02954789998205,LFC,chromatic,5,True,ESPRESSO_G2.fits
