,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT
39,58306.44401732639,-3326254.795923622,32.10032503400299,625.8464774931318,217014_180707.1178.fits,380.533568492125,420.0020000000009,1.04395302663215,LFC,chromatic,2,True
40,58306.44932056713,-3326248.512541921,32.59054194946336,621.0684924707663,217014_180707.1179.fits,377.0899591163015,420.0029999999974,1.03926957357415,LFC,chromatic,2,True
41,58306.45461920139,-3326328.461360819,30.26181391271035,681.6347804577846,217014_180707.1180.fits,403.838115204724,420.0040009999938,1.0355015858575,LFC,chromatic,2,True
42,58307.3870786574,-3331700.111404445,74.30289631645091,125.0023961426199,217014_180708.1175.fits,187.7306731439732,420.0029999999974,1.15371362668445,LFC,chromatic,2,True
43,58307.39238422453,-3331722.107453668,44.44404890712335,334.2776214792248,217014_180708.1176.fits,286.9404270754285,420.0030000000069,1.13724655539365,LFC,chromatic,2,True
44,58307.39767820602,-3331796.149203403,32.69830156162833,600.3552578202374,217014_180708.1177.fits,371.7075362759855,420.0029989999973,1.12219240051645,LFC,chromatic,2,True
45,58307.45438539352,-3331762.108487832,31.20249294826669,675.1850884196427,217014_180708.1191.fits,385.1307950979565,420.0030000000069,1.03405298558225,LFC,chromatic,2,True
46,58307.45968979166,-3331896.252232208,31.48643033682735,664.0932262537414,217014_180708.1192.fits,382.4791945601677,420.0029999999974,1.0316521495417,LFC,chromatic,2,True
47,58307.46499070602,-3331854.766085371,28.609451470343,789.1777390384859,217014_180708.1193.fits,415.7328579416288,420.0029999999974,1.0301508462185,LFC,chromatic,2,True
48,58437.13923621528,-3321665.175825056,41.46502807339609,354.3244404521735,217014_181115.1104.fits,307.8949160934006,420.0029999999974,1.03820002916175,LFC,chromatic,3,True
49,58437.14453584491,-3321848.445241616,40.44202752325273,370.7591263635717,217014_181115.1105.fits,312.9943318063447,420.0030000000069,1.042615688213,LFC,chromatic,3,True
50,58437.14983677083,-3321713.400433648,36.02517424401505,481.5520481804032,217014_181115.1106.fits,341.1970278494647,420.0019990000009,1.048058201321,LFC,chromatic,3,True
51,58438.18485643518,-3328734.003297106,30.66461584694201,691.2392826048559,217014_181116.1090.fits,330.7230646639255,420.0029999999974,1.11692726262935,LFC,chromatic,3,True
52,58438.19014928241,-3328738.369911412,32.42050063028316,607.7591049862095,217014_181116.1091.fits,317.9097756538154,420.0030000000069,1.13136602796655,LFC,chromatic,3,True
53,58438.19545136574,-3328774.689358698,34.4330264470771,533.0260224640897,217014_181116.1092.fits,303.6011770711287,420.002001000001,1.1472827615088,LFC,chromatic,3,True
54,58440.18186106481,-3322146.417521426,65.80085493634608,161.0121239595766,217014_181118.1203.fits,239.1596691444128,420.0029989999973,1.12351337712145,LFC,chromatic,3,True
55,58440.18716780093,-3321932.190559633,24.72558013060328,1011.155997010545,217014_181118.1204.fits,514.3886454987861,420.0040000000034,1.1386784506397,LFC,chromatic,3,True
56,58440.19246871528,-3321882.72623186,24.3885538851802,1016.57148698497,217014_181118.1205.fits,522.1082754441477,420.002001000001,1.15515765547355,LFC,chromatic,3,True
57,58440.19782403935,-3321882.715545251,24.20906368429967,1043.960956742366,217014_181118.1206.fits,525.8311740341392,420.0029999999974,1.17336903232135,LFC,chromatic,3,True
58,58472.04794326389,-3329558.519942733,42.70661538667289,357.27054247838,217014_181220.1080.fits,338.0736044034726,420.0019999999914,1.04168819678095,LFC,chromatic,3,True
59,58472.05318631944,-3329544.334299617,42.14081565513027,381.1719300993202,217014_181220.1081.fits,349.2605876882618,420.0029999999974,1.04683647491525,LFC,chromatic,3,True
60,58472.05847796296,-3329836.709316741,39.43616718925704,425.0148095575396,217014_181220.1082.fits,381.4618386536904,420.0020000000009,1.0529753361934,LFC,chromatic,3,True
