,Unnamed: 0,Maxflux,MinWvl,Minflux,Wv_lbounds,Wv_ubounds,Gauss_amp,Gauss_mu,Gauss_sig
78,78,0.9843525778586358,4496.044161897616,0.8864301159508032,4495.9207024331145,4496.071577311387,0.10456752778362645,4496.027529515921,0.04077885826119042
79,79,0.9070718397334312,4496.182857222247,0.6911056987016811,4496.0784300273435,4496.254230104686,0.31611268835102424,4496.179514274069,0.04731272921393303
80,80,0.9910373458900557,4496.334484909135,0.6352886571538326,4496.263149380124,4496.557194561222,0.3504737652229842,4496.337246213974,0.0422399096263943
81,81,0.9973973379138422,4496.7173449995835,0.4460024780717703,4496.5660962101865,4496.815132134695,0.5483991844666375,4496.717559250828,0.04132751849287721
82,82,0.9833964955949359,4496.912856659939,0.4926816294826925,4496.824018769198,4497.143593180174,0.4746029209892503,4496.926945315459,0.0607174958541575
83,83,0.9875537083268752,4497.311987444077,0.9265363735290416,4497.152460684654,4497.4536485881545,0.08147003280085513,4497.3111037785275,0.07083404349558535
84,84,1.01694907226897,4497.621699668764,0.1961243565242327,4497.4624980236495,4497.930780414842,0.7413115401765844,4497.641726468518,0.07373227361365303
85,85,1.0138684673692837,4498.027789802218,0.9982850569545731,4497.9484231172555,4498.063050505856,6.266926130602159e-05,4498.049745368928,0.0004002062660632367
86,86,1.0061891448965097,4498.168783235714,0.9791512365388142,4498.071864395611,4498.221621832054,0.018275049003298693,4498.178150185057,0.0334882345290389
87,87,0.9892784302674728,4498.43279119829,0.6461794061696456,4498.239230584744,4498.766537823806,0.3326705743278448,4498.440829271474,0.0669621865017361
88,88,1.0138099203610251,4499.0470132461905,0.950490913309241,4498.950659004889,4499.160806549764,0.04991389530988964,4499.040884077819,0.03515130711480093
89,89,1.00902268169613,4499.3444437836,0.9381652239517748,4499.178305532696,4499.379396726378,0.06364001433034844,4499.329211126682,0.04984770296707964
90,90,0.9492321311440122,4499.492937291382,0.6626653343415956,4499.388133683612,4499.554038738726,0.3361843805871708,4499.4898270329995,0.038548344434163606
91,91,0.9373856699547524,4499.658725831211,0.3874376076424264,4499.5627654729105,4499.78076782362,0.5998368664940019,4499.658974463454,0.044232315237881493
92,92,0.9972915284197909,4499.9027097694925,0.4839936140513722,4499.78076782362,4500.094130823826,0.4998390861365941,4499.900794107077,0.047663872711529956
93,93,1.0212354779537869,4500.241878107821,0.9753776334123736,4500.172368318161,4500.354761988659,0.023879739697744234,4500.23227988227,0.025337452352279827
94,94,1.0216376089805002,4500.710216972097,1.002360574385954,4500.632263515229,4500.7621630674685,0.0,4500.710216972097,0.025979910447858856
95,95,1.0156953260431512,4501.047539666983,0.576059203256376,4500.822743721839,4501.237483605896,0.4161489070939265,4501.063720365567,0.06005463355374497
96,96,1.0077939130387237,4501.401328554478,0.8059628451857673,4501.246111587481,4501.57359927561,0.18798286396186778,4501.398425115103,0.04308481051883615
97,97,1.0039170858067463,4501.86599469938,0.6265043162839969,4501.590815204214,4501.917533178888,0.3462446956107316,4501.851001181131,0.04384718102092206
98,98,0.9751868662417104,4502.037718846937,0.15005736182399546,4501.917533178888,4502.312057062888,0.8379284870174863,4502.040565375162,0.06784694916839468
99,99,0.9795655971919558,4502.534576224732,0.7271564238183288,4502.320621799945,4502.654253008949,0.2619922141667797,4502.50935701131,0.08321242210743805
