,Wv_lbounds,Wv_ubounds,Minflux,MinWvl,Maxflux
63,4518.269126462381,4518.605668363975,0.64478,4518.41585207762,0.98034
64,4518.61203872568,4518.9693794408895,0.32303000000000004,4518.795888569945,0.98056
65,4519.1592422378635,4519.471589708991,0.26774000000000003,4519.294077588036,0.98457
66,4519.477982938175,4519.763633717848,0.45998,4519.602460467963,0.98539
67,4519.770027773308,4519.902897479685,0.74854,4519.847432007551,0.95337
68,4520.489116922451,4520.642383282664,0.97296,4520.558555513739,0.98968
69,4520.789671829232,4520.9896619976125,0.93226,4520.895847339257,0.98829
70,4520.996059522439,4521.140979551761,0.95661,4521.0878751959835,0.98005
71,4521.147357064074,4521.357763736451,0.55698,4521.25354937619,0.97429
72,4521.361750061789,4521.654038410402,0.27852,4521.4947133711685,0.96726
73,4521.662421021591,4521.954748247156,0.89661,4521.7830318364395,0.9828
74,4522.20637580812,4522.527530468008,0.8401,4522.39450640861,0.98861
75,4522.955002997702,4523.206353165376,0.95113,4523.126828892409,0.98337
76,4523.212736505846,4523.325020773709,0.95347,4523.294657641169,0.98036
77,4523.513264924453,4523.693502918943,0.8689100000000001,4523.6319486373795,0.99111
78,4523.699498821142,4523.988098545454,0.2276,4523.9021614774765,0.93671
79,4523.992498840422,4524.223557051151,0.26814,4524.0700477690225,0.97563
80,4524.22955435855,4524.473431036472,0.82273,4524.344284068304,0.98035
81,4524.479429006353,4524.804899009884,0.51066,4524.6697551006655,0.98686
82,4524.884871318021,4525.087640200508,0.9591,4524.978851606341,0.98747
83,4525.093639798981,4525.276010612241,0.8706299999999999,4525.1900246077585,0.98406
84,4525.28201071023,4525.421205162568,0.93296,4525.359992953109,0.97001
85,4525.42759475596,4525.652798488548,0.92089,4525.482808147885,0.99096
86,4525.722416290982,4526.048065154961,0.71919,4525.954040448388,0.98968
87,4526.054067300469,4526.285745894707,0.58312,4526.207711256626,0.92439
88,4526.289740914452,4526.775567397028,0.19024,4526.412586092141,0.97283
89,4526.783579664751,4526.978485276711,0.9654,4526.853211768856,0.98362
90,4526.988506637123,4527.248688158388,0.74922,4527.136209010998,0.98416
91,4527.255082913394,4527.4764714518105,0.7601,4527.367588464967,0.97324
92,4527.482477386437,4527.781974402809,0.26085,4527.714302241737,0.97298
93,4527.787981147993,4527.962163189006,0.41319,4527.828819237418,0.96624
94,4527.968170412292,4528.413487406806,0.28537,4528.2000245057125,0.96776
95,4528.42150547373,4528.679862376317,0.27516,4528.585728292501,0.9677
96,4528.685871504091,4528.868531987147,0.70353,4528.723116146627,0.96989
97,4528.876941369336,4529.157771136604,0.64328,4529.053217412457,0.97
